frequent-itemSets,	support
{'long life bakery product', 'whole milk', 'other vegetables'},	0.0056939501779359435
{'whole milk', 'yogurt', 'butter'},	0.009354346720894764
{'bottled water', 'other vegetables', 'tropical fruit'},	0.0062023385866802234
{'curd', 'yogurt', 'tropical fruit'},	0.0052872394509405184
{'curd', 'whole milk', 'yogurt'},	0.010066090493136757
{'citrus fruit', 'whole milk', 'yogurt'},	0.010269445856634469
{'whole milk', 'butter', 'bottled water'},	0.005388917132689374
{'citrus fruit', 'whole milk', 'bottled water'},	0.005897305541433655
{'whole milk', 'butter', 'tropical fruit'},	0.0062023385866802234
{'citrus fruit', 'yogurt', 'tropical fruit'},	0.00630401626842908
{'curd', 'whole milk', 'tropical fruit'},	0.006507371631926792
{'whole milk', 'yogurt', 'bottled water'},	0.009659379766141332
{'citrus fruit', 'whole milk', 'butter'},	0.005083884087442806
{'bottled water', 'yogurt', 'tropical fruit'},	0.0071174377224199285
{'tropical fruit', 'whole milk', 'bottled water'},	0.008032536858159633
{'whole milk', 'yogurt', 'tropical fruit'},	0.015149974580579562
{'citrus fruit', 'whole milk', 'tropical fruit'},	0.009049313675648195
{'other vegetables', 'root vegetables', 'tropical fruit'},	0.012302999491611592
{'rolls/buns', 'other vegetables', 'tropical fruit'},	0.007829181494661922
{'rolls/buns', 'root vegetables', 'tropical fruit'},	0.005897305541433655
{'other vegetables', 'rolls/buns', 'root vegetables'},	0.012201321809862735
{'rolls/buns', 'sausage', 'soda'},	0.009659379766141332
{'rolls/buns', 'bottled water', 'other vegetables'},	0.007320793085917641
{'other vegetables', 'whole milk', 'sugar'},	0.00630401626842908
{'other vegetables', 'whole milk', 'root vegetables'},	0.023182511438739197
{'whipped/sour cream', 'whole milk', 'other vegetables'},	0.014641586171835282
{'soda', 'whole milk', 'other vegetables'},	0.013929842399593289
{'whole milk', 'soda', 'whipped/sour cream'},	0.005490594814438231
{'other vegetables', 'whole milk', 'pork'},	0.010167768174885612
{'rolls/buns', 'sausage', 'shopping bags'},	0.005998983223182512
{'sausage', 'soda', 'shopping bags'},	0.0056939501779359435
{'rolls/buns', 'soda', 'shopping bags'},	0.00630401626842908
{'soda', 'whole milk', 'root vegetables'},	0.00813421453990849
{'whole milk', 'brown bread', 'tropical fruit'},	0.0056939501779359435
{'soda', 'whole milk', 'yogurt'},	0.01047280122013218
{'soda', 'whole milk', 'tropical fruit'},	0.007829181494661922
{'pastry', 'soda', 'whole milk'},	0.008235892221657347
{'whole milk', 'root vegetables', 'brown bread'},	0.0056939501779359435
{'whole milk', 'yogurt', 'brown bread'},	0.0071174377224199285
{'whole milk', 'domestic eggs', 'tropical fruit'},	0.006914082358922217
{'soda', 'yogurt', 'tropical fruit'},	0.0066090493136756485
{'whole milk', 'yogurt', 'root vegetables'},	0.014539908490086425
{'soda', 'whole milk', 'domestic eggs'},	0.005185561769191663
{'pastry', 'whole milk', 'root vegetables'},	0.0056939501779359435
{'pastry', 'whole milk', 'yogurt'},	0.009150991357397052
{'yogurt', 'root vegetables', 'tropical fruit'},	0.00813421453990849
{'whole milk', 'root vegetables', 'tropical fruit'},	0.011997966446365024
{'pastry', 'whole milk', 'tropical fruit'},	0.006710726995424504
{'whole milk', 'yogurt', 'coffee'},	0.005083884087442806
{'whole milk', 'domestic eggs', 'yogurt'},	0.007727503812913066
{'whole milk', 'domestic eggs', 'root vegetables'},	0.008540925266903915
{'soda', 'whole milk', 'brown bread'},	0.005083884087442806
{'soda', 'yogurt', 'bottled water'},	0.007422470767666497
{'rolls/buns', 'bottled water', 'soda'},	0.00681240467717336
{'rolls/buns', 'newspapers', 'yogurt'},	0.005083884087442806
{'rolls/buns', 'bottled water', 'yogurt'},	0.0071174377224199285
{'rolls/buns', 'soda', 'yogurt'},	0.00864260294865277
{'other vegetables', 'whipped/sour cream', 'root vegetables'},	0.008540925266903915
{'other vegetables', 'bottled water', 'root vegetables'},	0.007015760040671073
{'rolls/buns', 'butter', 'other vegetables'},	0.0056939501779359435
{'rolls/buns', 'whipped/sour cream', 'other vegetables'},	0.006710726995424504
{'other vegetables', 'curd', 'root vegetables'},	0.005490594814438231
{'whipped/sour cream', 'butter', 'other vegetables'},	0.005795627859684799
{'other vegetables', 'butter', 'root vegetables'},	0.0066090493136756485
{'curd', 'other vegetables', 'tropical fruit'},	0.0052872394509405184
{'fruit/vegetable juice', 'other vegetables', 'tropical fruit'},	0.0066090493136756485
